bucket,n_candidates,n_events,mean_price,share_at_floor,flag,n_winners,ci_method,win_rate,boot_lo,boot_hi
"[0.00,0.02)",839,90,0.010001191895113228,1.0,True,3,bootstrap,0.003575685339690107,0.0,0.008762330431931593
"[0.02,0.05)",282,84,0.027187943262411345,0.5425531914893617,True,5,bootstrap,0.01773049645390071,0.004404324490698883,0.034188846641318126
"[0.05,0.10)",158,74,0.06268354430379747,0.0,False,1,bootstrap,0.006329113924050633,0.0,0.02127659574468085
"[0.10,0.20)",112,68,0.1358125,0.0,False,8,bootstrap,0.07142857142857142,0.02702702702702703,0.12121212121212122
"[0.20,0.35)",65,50,0.2555384615384616,0.0,False,12,bootstrap,0.18461538461538463,0.1,0.2833395522388059
"[0.35,0.50)",22,20,0.40090909090909094,0.0,False,10,bootstrap,0.45454545454545453,0.25,0.6666666666666666
"[0.50,0.65)",18,17,0.5594444444444444,0.0,False,9,bootstrap,0.5,0.2725757575757576,0.75
"[0.65,0.80)",24,24,0.7333333333333334,0.0,False,20,bootstrap,0.8333333333333334,0.6666666666666666,0.9615384615384616
"[0.80,0.95)",53,53,0.8633962264150944,0.0,False,50,bootstrap,0.9433962264150944,0.8709677419354839,1.0
"[0.95,1.00)",6,6,0.9773333333333335,0.0,False,6,bootstrap,1.0,1.0,1.0
