trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
a4141d91-1918-40cd-864d-7fdf892a1f45,KXNEXTPOPE-35-BREI,2025-05-08T13:37:45.67514Z,2.00,0.0100,0.9900,yes
19f0ee28-005f-4dd7-920d-f8b960326524,KXNEXTPOPE-35-BREI,2025-05-08T03:45:26.570288Z,93.00,0.0100,0.9900,yes
34a23f8e-4b15-4e9a-b0f9-80029ab9ca08,KXNEXTPOPE-35-BREI,2025-05-08T00:11:09.548127Z,301.00,0.0100,0.9900,yes
51211477-8e80-4b8c-80ff-80890856bd5c,KXNEXTPOPE-35-BREI,2025-05-07T23:03:21.693954Z,935.00,0.0100,0.9900,yes
a990919c-6711-412c-87f3-e024ee3eba3e,KXNEXTPOPE-35-BREI,2025-05-07T22:34:44.586263Z,108.00,0.0100,0.9900,yes
9a965e3b-de1d-4551-b622-9c4fbc8dd676,KXNEXTPOPE-35-BREI,2025-05-07T22:34:44.586263Z,892.00,0.0100,0.9900,yes
e7c1c528-7ea1-4c2a-aa2c-d7f6a13c5071,KXNEXTPOPE-35-BREI,2025-05-07T20:06:35.256562Z,45.00,0.0100,0.9900,yes
25443df9-096b-459f-aaf2-9b35f52e9f42,KXNEXTPOPE-35-BREI,2025-05-07T18:41:47.497847Z,93.00,0.0100,0.9900,yes
6a953b0d-0cdb-4fb8-b55a-362be5438a86,KXNEXTPOPE-35-BREI,2025-05-07T17:23:41.398592Z,1.00,0.0100,0.9900,yes
630a0663-5bd4-4abc-a073-ef900e3a3039,KXNEXTPOPE-35-BREI,2025-05-07T00:19:15.285545Z,467.00,0.0100,0.9900,yes
6ae46ff2-64ae-45ea-9448-6a7ef9d8d389,KXNEXTPOPE-35-BREI,2025-05-06T19:25:34.095771Z,100.00,0.0100,0.9900,yes
fce32741-6b0c-4cdd-897f-26879b0565e4,KXNEXTPOPE-35-BREI,2025-05-06T17:08:35.15303Z,280.00,0.0100,0.9900,yes
a527b618-9aff-44ba-b564-9d09123794f4,KXNEXTPOPE-35-BREI,2025-05-05T18:00:51.687609Z,1.00,0.0100,0.9900,yes
821023ec-1c3c-4273-9e33-c08cf8d875de,KXNEXTPOPE-35-BREI,2025-05-04T19:02:42.224492Z,467.00,0.0100,0.9900,yes
0495884d-e0d7-4768-a210-323bafac2355,KXNEXTPOPE-35-BREI,2025-05-04T18:43:07.676357Z,93.00,0.0100,0.9900,yes
79157b51-e716-4147-af84-e71f299dd897,KXNEXTPOPE-35-BREI,2025-05-03T13:27:47.402145Z,1402.00,0.0100,0.9900,yes
a8e9e7e9-7a60-49bd-92c4-9a5381547158,KXNEXTPOPE-35-BREI,2025-05-03T06:05:13.653399Z,93.00,0.0100,0.9900,yes
