trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
f9e22110-453b-40a1-11ba-c8a8bb87e94b,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-31T10:32:02.445331Z,94.00,0.9900,0.0100,no
9be42fde-269f-67ad-9032-03799259505b,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-31T01:42:05.598917Z,2132.00,0.9900,0.0100,no
b40e0598-66bf-6c19-c28b-6cf6820f800f,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-31T01:21:33.859821Z,467.00,0.9900,0.0100,no
3b6c77fb-421f-45d8-a255-587766e08211,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:37:32.574332Z,3.00,0.9700,0.0300,yes
4abc1c7b-4b62-4643-ec19-e3bae2c311fd,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:55.595551Z,44.00,0.8000,0.2000,yes
1319dbc0-0b68-4f3a-e130-70a33f2a3f76,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:55.595551Z,468.00,0.9900,0.0100,yes
d3a3a1ae-d310-69f4-fc23-b1578418ff81,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:35.533282Z,500.00,0.6700,0.3300,yes
9e75bd1c-dc12-6fc4-faf5-9b424ddd502b,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:35.533282Z,1052.00,0.6500,0.3500,yes
9cd0aadc-bac8-6f33-d229-393301c69132,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:35.533282Z,25.00,0.6400,0.3600,yes
6a4d49b2-7937-6fc4-d62b-8be75f7bdac9,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:35.533282Z,14.00,0.6300,0.3700,yes
65a3a10b-a849-6a2c-e5f3-8e0aca9baa95,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:35.533282Z,18.00,0.6000,0.4000,yes
f63cea30-f901-6d79-a404-4947558d5d5b,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:35:13.060359Z,33.00,0.5800,0.4200,yes
8774273a-0699-4dd0-5cd5-d487c581881a,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:34:19.490511Z,100.00,0.4000,0.6000,yes
45b361fc-a282-5b8b-258c-8de7a52e400c,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:33:08.966627Z,120.00,0.2900,0.7100,yes
f378c016-51c9-47b2-4c30-905ebf469793,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T23:23:58.577054Z,100.00,0.2000,0.8000,yes
b67ebd34-4b90-4bdd-72e6-43d836e53030,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T13:34:23.777473Z,10.00,0.2000,0.8000,yes
6e48c8c2-2ffa-4ec3-7e46-0c74b9f20e2c,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T13:34:23.777473Z,84.00,0.2000,0.8000,yes
245ac451-5992-57b0-dec1-31eda876835f,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T04:30:12.157644Z,29.00,0.2000,0.8000,no
b902bd58-4f70-5385-d240-6bfa0e24b5af,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T04:29:53.271421Z,6.00,0.1900,0.8100,no
fe0343ca-577e-7ccc-fbb7-a0a03997bb19,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T01:45:01.009586Z,6.00,0.3700,0.6300,yes
9c25a0e2-29dc-764d-fa69-ef348148bdf3,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T01:19:37.526767Z,3.00,0.1900,0.8100,no
62976584-b49e-754a-cfa1-ddee6085b259,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-30T00:12:30.113348Z,66.00,0.1900,0.8100,yes
70ac83a6-d976-5146-27a3-c891d980da36,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T22:55:09.371837Z,80.00,0.2500,0.7500,no
f3f89e57-631f-7466-fb1c-78b1eda50875,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T22:12:50.125892Z,20.00,0.1500,0.8500,yes
ca05bac8-2e34-5a2d-af82-0baa1986bfc7,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T16:54:31.635891Z,100.00,0.1200,0.8800,yes
9e68e248-3e61-5104-dd8f-1832d870d949,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T16:33:42.567421Z,4.00,0.0700,0.9300,no
74b6561e-2d21-5d24-6613-e93e0a5fb775,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T13:49:43.980385Z,200.00,0.0700,0.9300,no
1c222a7d-a05c-40f2-b80a-2070b35a782b,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T13:46:25.841936Z,5.00,0.0800,0.9200,no
53051f47-af3a-641e-2975-7264018d5a33,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T04:46:43.840147Z,100.00,0.0700,0.9300,yes
1aa56dbb-722b-58dd-0f12-101261ba62e1,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-29T02:08:54.11499Z,5.00,0.0300,0.9700,no
3f3ea28b-18f4-5de2-b8ba-904164a9e2bb,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-25T06:52:34.587364Z,300.00,0.0700,0.9300,yes
183c5adb-223a-7845-f299-c05aabb70224,KXGOVTFUNDSVOTES-27JAN01-72,2026-01-24T21:33:20.059579Z,200.00,0.0400,0.9600,no
