ticker,event,domain,won,snapshot_price,n_trades_before_snapshot,staleness_hours,at_floor,n_event_candidates,bucket
KXCABOUT-29-MR,KXCABOUT-29,Political,0,0.01,1743,0.69,True,26,0
KXCABOUT-29-LCD,KXCABOUT-29,Political,0,0.14,2556,0.68,False,26,3
KXCABOUT-29-ES,KXCABOUT-29,Political,0,0.01,669,1.49,True,26,0
KXCABOUT-29JAN-TGAB,KXCABOUT-29JAN,Political,0,0.05,1026,0.64,False,24,2
KXCABOUT-29JAN-SWIL,KXCABOUT-29JAN,Political,0,0.03,259,16.56,False,24,1
KXCABOUT-29JAN-STUR,KXCABOUT-29JAN,Political,0,0.02,170,36.79,True,24,1
KXCABOUT-29JAN-SDUF,KXCABOUT-29JAN,Political,0,0.02,165,67.53,True,24,1
KXCABOUT-29JAN-SBES,KXCABOUT-29JAN,Political,0,0.02,179,71.06,True,24,1
KXCABOUT-29JAN-RVOU,KXCABOUT-29JAN,Political,0,0.02,56,172.81,True,24,1
KXCABOUT-29JAN-RFK,KXCABOUT-29JAN,Political,0,0.04,314,20.27,False,24,1
KXCABOUT-29JAN-PHEG,KXCABOUT-29JAN,Political,0,0.06,302,1.52,False,24,2
KXCABOUT-29JAN-PBON,KXCABOUT-29JAN,Political,0,0.12,5717,0.25,False,24,3
KXCABOUT-29JAN-MWAL,KXCABOUT-29JAN,Political,0,0.02,113,37.57,True,24,1
KXCABOUT-29JAN-MRUB,KXCABOUT-29JAN,Political,0,0.02,158,2.79,True,24,1
KXCABOUT-29JAN-MKRA,KXCABOUT-29JAN,Political,0,0.02,59,143.94,True,24,1
KXCABOUT-29JAN-LZEL,KXCABOUT-29JAN,Political,0,0.02,96,72.63,True,24,1
KXCABOUT-29JAN-LMCM,KXCABOUT-29JAN,Political,0,0.02,147,25.49,True,24,1
KXCABOUT-29JAN-LCDR,KXCABOUT-29JAN,Political,0,0.13,729,0.38,False,24,3
KXCABOUT-29JAN-KNOE,KXCABOUT-29JAN,Political,1,0.23,3583,0.17,False,24,4
KXCABOUT-29JAN-KLOE,KXCABOUT-29JAN,Political,0,0.02,119,172.78,True,24,1
