ticker,event,domain,won,snapshot_price,n_trades_before_snapshot,staleness_hours,at_floor,n_event_candidates,bucket
KXFEDCHAIRNOM-29-KH,KXFEDCHAIRNOM-29,Political,0,0.08,39121,0.08,False,23,2
KXFEDCHAIRNOM-29-JS,KXFEDCHAIRNOM-29,Political,0,0.04,6085,0.02,False,23,1
KXFEDCHAIRNOM-29-JP,KXFEDCHAIRNOM-29,Political,0,0.01,445,3.91,True,23,0
KXFEDCHAIRNOM-29-AL,KXFEDCHAIRNOM-29,Political,0,0.01,164,0.11,True,23,0
KXFLACOACH-26-GSCH,KXFLACOACH-26,Sports,0,0.02,20,13.49,True,20,1
KXFLACOACH-26-LRIL,KXFLACOACH-26,Sports,0,0.04,354,0.27,False,20,1
KXFLACOACH-26-WSTE,KXFLACOACH-26,Sports,0,0.02,6,0.31,True,20,1
KXFLACOACH-26-UMEY,KXFLACOACH-26,Sports,0,0.02,52,17.02,True,20,1
KXFLACOACH-26-RLAS,KXFLACOACH-26,Sports,0,0.02,4,94.06,True,20,1
KXFLACOACH-26-MRHU,KXFLACOACH-26,Sports,0,0.02,3,208.42,True,20,1
KXFLACOACH-26-MFRE,KXFLACOACH-26,Sports,0,0.02,10,70.35,True,20,1
KXFLACOACH-26-MELK,KXFLACOACH-26,Sports,0,0.04,1,400.27,False,20,1
KXFLACOACH-26-MDIA,KXFLACOACH-26,Sports,0,0.04,2,300.97,False,20,1
KXFLACOACH-26-LKIF,KXFLACOACH-26,Sports,0,0.03,10271,0.06,False,20,1
KXFLACOACH-26-JSUM,KXFLACOACH-26,Sports,1,0.66,1224,0.02,False,20,7
KXFLACOACH-26-JGRU,KXFLACOACH-26,Sports,0,0.01,28,19.64,True,20,0
KXFLACOACH-26-JFRA,KXFLACOACH-26,Sports,0,0.01,113,195.11,True,20,0
KXFLACOACH-26-JFIS,KXFLACOACH-26,Sports,0,0.21,1417,0.07,False,20,4
KXFLACOACH-26-JBRO,KXFLACOACH-26,Sports,0,0.02,84,0.05,True,20,1
KXFLACOACH-26-JBRA,KXFLACOACH-26,Sports,0,0.03,4,258.3,False,20,1
KXFLACOACH-26-EDRI,KXFLACOACH-26,Sports,0,0.02,577,14.63,True,20,1
KXFLACOACH-26-BOBR,KXFLACOACH-26,Sports,0,0.03,2,183.25,False,20,1
KXFLACOACH-26-BKEY,KXFLACOACH-26,Sports,0,0.05,179,0.03,False,20,2
KXFLACOACH-26-AGOL,KXFLACOACH-26,Sports,0,0.02,118,0.81,True,20,1
KXFTC-26DEC31-MM,KXFTC-26DEC31,Political,1,0.84,15,156.56,False,4,8
KXFTC-26DEC31-MH,KXFTC-26DEC31,Political,0,0.01,48,843.81,True,4,0
KXFTC-26DEC31-GS,KXFTC-26DEC31,Political,0,0.01,47,160.03,True,4,0
KXFTC-26DEC31-AF,KXFTC-26DEC31,Political,0,0.1,178,196.67,False,4,3
KXG7LEADEROUT-35-OS,KXG7LEADEROUT-35,Political,0,0.11,137,12.4,False,5,3
KXG7LEADEROUT-35-KS,KXG7LEADEROUT-35,Political,0,0.04,1,537.35,False,5,1
KXG7LEADEROUT-35-EM,KXG7LEADEROUT-35,Political,0,0.01,6,435.61,True,5,0
KXG7LEADEROUT-35-DJT,KXG7LEADEROUT-35,Political,0,0.03,2,416.75,False,5,1
KXG7LEADEROUT-35-JT,KXG7LEADEROUT-35,Political,1,0.84,247,73.9,False,5,8
KXG7LEADEROUT-36-SI,KXG7LEADEROUT-36,Political,1,0.84,8,917.58,False,3,8
KXG7LEADEROUT-36-KS,KXG7LEADEROUT-36,Political,0,0.15,6,321.64,False,3,3
KXG7LEADEROUT-36-DJT,KXG7LEADEROUT-36,Political,0,0.05,10,146.98,False,3,2
KXGERCOALITION-30-GER,KXGERCOALITION-30,Political,0,0.14,75,0.55,False,8,3
KXGERCOALITION-30-B,KXGERCOALITION-30,Political,0,0.03,4,103.83,False,8,1
KXGERCOALITION-30-KEN,KXGERCOALITION-30,Political,0,0.3,1098,1.25,False,8,4
KXGERCOALITION-30-K,KXGERCOALITION-30,Political,0,0.03,50,0.95,False,8,1
KXGERCOALITION-30-TLC,KXGERCOALITION-30,Political,0,0.01,14,57.27,True,8,0
KXGERCOALITION-30-JC,KXGERCOALITION-30,Political,0,0.01,15,57.27,True,8,0
KXGERCOALITION-30-CA,KXGERCOALITION-30,Political,0,0.05,190,0.55,False,8,2
KXGERCOALITION-30-GC,KXGERCOALITION-30,Political,1,0.5,478,0.51,False,8,6
KXGERMANYPARTY-25-SDP,KXGERMANYPARTY-25,Political,0,0.02,71,53.84,True,6,1
KXGERMANYPARTY-25-L,KXGERMANYPARTY-25,Political,0,0.01,1,964.22,True,6,0
KXGERMANYPARTY-25-G,KXGERMANYPARTY-25,Political,0,0.01,18,964.22,True,6,0
KXGERMANYPARTY-25-FDP,KXGERMANYPARTY-25,Political,0,0.01,1,964.22,True,6,0
KXGERMANYPARTY-25-CDU,KXGERMANYPARTY-25,Political,1,0.88,188,1.42,False,6,8
KXGERMANYPARTY-25-AFD,KXGERMANYPARTY-25,Political,0,0.11,151,2.31,False,6,3
KXGORTONDENTON2ND-26FEB26-2ND-REF,KXGORTONDENTON2ND-26FEB26-2ND,Political,1,0.64,155,0.93,False,5,6
KXGORTONDENTON2ND-26FEB26-2ND-LIBDEM,KXGORTONDENTON2ND-26FEB26-2ND,Political,0,0.01,4,306.54,True,5,0
