event_ticker,category,domain,n_sub_markets,total_trades,resolution_or_close_time
KXJAPAN3RD-26FEB08-3,Political,Political,6,7457.0,2026-02-13T10:18:30+00:00
KXJAPANHOUSE-28,Political,Political,7,76005.0,2026-02-26T22:39:57+00:00
KXJERSEYCITMOV-25DEC02,Political,Political,10,81698.0,2025-12-11T21:05:45+00:00
KXJPNPM-26FEB08,Political,Political,10,63681.0,2026-02-18T22:56:28+00:00
KXLALEADEROUT-35,Political,Political,10,37203.0,2025-10-11T23:02:51+00:00
KXLDPSEATS-26FEB08,Political,Political,9,251471.0,2026-02-13T10:13:10+00:00
KXLOUDOUNMOVVAGOV-25NOV04,Political,Political,8,4334.0,2025-12-02T00:51:09+00:00
KXLSUCOACH-26,Sports,Sports,28,4130940.0,2025-11-30T20:47:44+00:00
KXMAINEHOUSE94SPECIAL-26FEB24,Political,Political,8,49312.0,2026-03-02T22:28:06+00:00
KXMANTISFREETHROWS-26DEC,Sports,Sports,19,99361.0,2025-08-05T02:32:59+00:00
KXMAYORMINN-26,Political,Political,5,1504148.0,2025-11-07T22:30:42+00:00
KXMEMCOACH-26,Sports,Sports,13,50870.0,2025-12-08T17:26:33+00:00
KXMICHCOACH-26,Sports,Sports,51,16851846.0,2025-12-27T04:38:12+00:00
KXMOLDOVABEP-25SEP28,Political,Political,5,1472.0,2025-10-18T03:51:48+00:00
KXMOLDOVACOALITION-27JAN01,Political,Political,4,7584.0,2025-11-02T16:59:23+00:00
KXMOLDOVAPAS-25SEP28,Political,Political,5,9130.0,2025-10-18T03:50:28+00:00
KXMOVCOSTARICAPRESR1-26FEB01,Political,Political,9,57479.0,2026-03-07T21:18:18+00:00
KXMOVNJ11SPECIALD-26FEB05,Political,Political,9,302083.0,2026-02-25T16:38:55+00:00
KXMOVPARISRUNOFF-26MAR22,Political,Political,7,20024.0,2026-03-23T14:55:40+00:00
KXMOVPORTUGALPRESRUNOFF-26FEB08,Political,Political,10,82808.0,2026-02-22T05:24:46+00:00
KXMOVTX18SPECIAL-26JAN31,Political,Political,10,28911.0,2026-02-24T15:31:46+00:00
KXNC01R-26,Political,Political,5,45225.0,2026-03-06T02:31:18+00:00
KXNC11D-26,Political,Political,5,12787.0,2026-03-06T02:37:28+00:00
KXNCAAF-26,Sports,Sports,137,142086661.0,2026-01-20T04:48:34+00:00
KXNCAAMBNEXTCOACH-NCST26,Sports,Sports,26,61784.0,2026-03-31T21:35:28+00:00
KXNCAAMBNEXTCOACH-SYR26,Sports,Sports,8,9595.0,2026-03-25T01:38:10+00:00
KXNCPRIMARY-05R26,Political,Political,4,730.0,2026-03-06T02:33:18+00:00
KXNCPRIMARY-06D26,Political,Political,4,2585.0,2026-03-06T02:33:48+00:00
KXNCPRIMARY-09D26,Political,Political,4,1046.0,2026-03-06T02:35:58+00:00
KXNCPRIMARY-10D26,Political,Political,6,6264.0,2026-03-06T02:36:28+00:00
KXNEXTCOACHOUTNBA-0-27,Sports,Sports,29,15788.0,2025-11-15T16:53:37+00:00
KXNEXTCZECHRPM-25OCT04,Political,Political,4,10215.0,2026-01-18T10:08:20+00:00
KXNEXTDHSSEC-29,Political,Political,10,126285.0,2026-03-24T18:52:40+00:00
KXNEXTDUTCHPM-25OCT29,Political,Political,8,78754.0,2026-02-23T15:47:36+00:00
KXNEXTIRANLEADER-45JAN01,Political,Political,15,9946642.0,2026-03-08T22:14:28+00:00
KXNEXTMANAGERCHELSEA-26,Sports,Sports,10,7911.0,2026-01-06T23:17:19+00:00
KXNEXTNFLCOACH-ARI27,Sports,Sports,31,715134.0,2026-02-02T17:52:46+00:00
KXNEXTNFLCOACH-ATL27,Sports,Sports,27,615716.0,2026-01-18T22:59:30+00:00
KXNEXTNFLCOACH-BAL27,Sports,Sports,32,1323875.0,2026-01-23T15:23:10+00:00
KXNEXTNFLCOACH-BUF27,Sports,Sports,31,1469701.0,2026-01-28T16:23:40+00:00
KXNEXTNFLCOACH-CLE27,Sports,Sports,31,1665619.0,2026-01-28T19:34:00+00:00
KXNEXTNFLCOACH-LV27,Sports,Sports,28,1785466.0,2026-02-09T05:56:31+00:00
KXNEXTNFLCOACH-MIA26,Sports,Sports,23,1050178.0,2026-01-20T15:43:50+00:00
KXNEXTNFLCOACH-PIT27,Sports,Sports,31,1272031.0,2026-01-26T03:44:40+00:00
KXNEXTPOPE-35,Political,Political,37,10618819.0,2025-05-08T17:56:43+00:00
KXNEXTTEAMNFL-26JPHILLIPS,Sports,Sports,32,45728.0,2026-03-13T19:03:18+00:00
KXNEXTTEAMNFL-26KMURRAY,Sports,Sports,32,899610.0,2026-03-15T01:30:49+00:00
KXNEXTTEAMNFL-26KWALKER,Sports,Sports,32,61681.0,2026-03-13T19:01:18+00:00
KXNEXTTEAMNFL-26MEVANS,Sports,Sports,32,34389.0,2026-03-13T19:02:38+00:00
KXNEXTTEAMNFL-26MWILLIS,Sports,Sports,32,27492.0,2026-03-13T21:29:28+00:00
KXNEXTTEAMNFL-26THENDRICKSON,Sports,Sports,32,145680.0,2026-03-13T19:00:58+00:00
KXNEXTTEAMNFL-26TTAGOVAILAO,Sports,Sports,32,277669.0,2026-03-15T01:31:19+00:00
KXNJ11SPECIAL2ND-26FEB05-2ND,Political,Political,9,312975.0,2026-02-25T16:35:35+00:00
KXNJASSEMBLYSEATSD-25NOV04,Political,Political,6,10376.0,2025-12-04T01:27:34+00:00
KXNLDFOURTH-25OCT29-4,Political,Political,7,8425.0,2025-11-07T22:46:50+00:00
KXNLDTHIRD-25OCT29-3,Political,Political,7,15675.0,2025-11-07T22:40:51+00:00
KXNORWAYCON-25SEP08,Political,Political,5,932.0,2025-09-22T04:06:06+00:00
KXNORWAYLABOUR-25SEP08,Political,Political,5,714.0,2025-09-22T04:05:14+00:00
KXNOTSEEKREELECTION-26MAR01,Political,Political,6,5557.0,2026-03-01T16:30:56+00:00
KXNYCMAYOR-25NOV04,Political,Political,6,60358.0,2025-12-02T21:26:24+00:00
KXNYGCOACH-26,Sports,Sports,33,2325629.0,2026-01-17T22:49:41+00:00
KXNYKCOACH-25,Sports,Sports,13,31056.0,2025-12-22T19:16:06+00:00
KXOKSTCOACH-26,Sports,Sports,14,60940.0,2025-11-25T22:16:09+00:00
KXPARIS1RMOV-26MAR15,Political,Political,8,25040.0,2026-03-16T15:02:59+00:00
KXPORTUGALPRESCOMBO-26JAN,Political,Political,5,4683.0,2026-01-24T04:46:09+00:00
KXPSUCOACH-26,Sports,Sports,42,7011728.0,2025-12-08T17:24:44+00:00
KXPVVSEATS-25OCT29,Political,Political,6,4150.0,2025-11-07T22:45:53+00:00
KXROMANIATOP-30,Political,Political,7,74784.0,2025-05-08T17:15:15+00:00
KXSEATTLEMAYORMOV-25NOV04,Political,Political,16,69884.0,2025-11-28T15:38:51+00:00
KXSECAG-26DEC31,Political,Political,18,12672827.0,2025-02-05T14:24:50+00:00
KXSECAGRO-26,Political,Political,13,789351.0,2025-02-15T16:19:12+00:00
KXSECCHAIR-26DEC31,Political,Political,11,861996.0,2025-04-10T02:25:21+00:00
KXSECCOM-26DEC31,Political,Political,4,554923.0,2025-02-19T02:23:07+00:00
KXSECDEF-26DEC31,Political,Political,16,12461725.0,2025-01-25T06:39:06+00:00
KXSECED-26DEC31,Political,Political,7,339330.0,2025-03-04T00:47:21+00:00
KXSECENERGY-26DEC31,Political,Political,8,841124.0,2025-02-04T15:35:13+00:00
KXSECHHS-26DEC31,Political,Political,8,12146553.0,2025-02-13T18:45:49+00:00
KXSECHOMELAND-26DEC31,Political,Political,5,296493.0,2025-01-27T20:52:38+00:00
KXSECHUD-26DEC31,Political,Political,5,557495.0,2025-02-05T21:23:33+00:00
KXSECINT-26DEC31,Political,Political,4,236735.0,2025-01-31T15:57:10+00:00
KXSECLABOR-26DEC31,Political,Political,4,661551.0,2025-03-11T16:05:09+00:00
KXSECSTATE-26DEC31,Political,Political,5,1466324.0,2025-01-21T16:00:40+00:00
KXSECTREASURY-26DEC31,Political,Political,11,5776757.0,2025-01-28T04:32:47+00:00
KXSECVA-26DEC31,Political,Political,4,389594.0,2025-02-04T21:58:29+00:00
KXSENATEILD-26,Political,Political,14,1482903.0,2026-03-18T14:39:29+00:00
KXSENATENCD-26,Political,Political,6,46048.0,2026-03-04T21:58:16+00:00
KXSENATENCR-26,Political,Political,8,222883.0,2026-03-04T23:24:36+00:00
KXSENATETXD-26,Political,Political,12,14628756.0,2026-03-04T16:01:00+00:00
KXSTANCOACH-26,Sports,Sports,13,59422.0,2025-11-28T22:57:44+00:00
KXTENNCOACH-26,Sports,Sports,26,995941.0,2026-01-20T23:53:51+00:00
KXTHAILANDPM-26FEB08,Political,Political,6,14078.0,2026-03-31T00:57:07+00:00
KXTHAIPARLIAMENT2ND-26FEB08-2,Political,Political,7,12865.0,2026-03-08T22:29:28+00:00
KXTN7SMOV-25NOV07,Political,Political,7,1564809.0,2025-12-08T00:04:29+00:00
KXTRUMPSCOTUSVOTE-26,Political,Political,10,1507926.0,2026-02-20T15:52:36+00:00
KXTULNCOACH-26,Sports,Sports,18,117013.0,2025-12-08T17:25:21+00:00
KXTX02R-26,Political,Political,4,329720.0,2026-03-06T02:48:08+00:00
KXTX18SPECIAL-26,Political,Political,6,128193.0,2026-02-03T05:07:36+00:00
KXTX28D-26,Political,Political,4,19047.0,2026-03-06T05:18:58+00:00
